9	F	3.98
8	O	3.44
17	Cl	3.16
7	N	3.04
35	Br	2.96
53	I	2.66
16	S	2.58
6	C	2.55
34	Se	2.55
79	Au	2.54
74	W	2.36
82	Pb	2.33
45	Rh	2.28
78	Pt	2.28
1	H	2.2
44	Ru	2.2
46	Pd	2.2
76	Os	2.2
77	Ir	2.2
85	At	2.2
15	P	2.19
33	As	2.18
42	Mo	2.16
52	Te	2.1
51	Sb	2.05
5	B	2.04
83	Bi	2.02
32	Ge	2.01
80	Hg	2
84	Po	2
50	Sn	1.96
47	Ag	1.93
28	Ni	1.91
14	Si	1.9
29	Cu	1.9
43	Tc	1.9
75	Re	1.9
27	Co	1.88
26	Fe	1.83
31	Ga	1.81
49	In	1.78
48	Cd	1.69
24	Cr	1.66
30	Zn	1.65
23	V	1.63
81	Tl	1.62
13	Al	1.61
41	Nb	1.6
4	Be	1.57
25	Mn	1.55
22	Ti	1.54
73	Ta	1.5
91	Pa	1.5
92	U	1.38
21	Sc	1.36
93	Np	1.36
40	Zr	1.33
12	Mg	1.31
72	Hf	1.3
90	Th	1.3
97	Bk	1.3
98	Cf	1.3
99	Es	1.3
100	Fm	1.3
102	No	1.3
101	Md	1.3
103	Lr	1.291
94	Pu	1.28
96	Cm	1.28
71	Lu	1.27
69	Tm	1.25
68	Er	1.24
67	Ho	1.23
39	Y	1.22
66	Dy	1.22
63	Eu	1.2
64	Gd	1.2
62	Sm	1.17
60	Nd	1.14
59	Pr	1.13
61	Pm	1.13
95	Am	1.13
58	Ce	1.12
57	La	1.1
65	Tb	1.1
70	Yb	1.1
89	Ac	1.1
20	Ca	1
3	Li	0.98
38	Sr	0.95
11	Na	0.93
88	Ra	0.9
56	Ba	0.89
19	K	0.82
37	Rb	0.82
55	Cs	0.79
87	Fr	0.7
